Fecha,Total,HechosSimples,HechosMortales,Victimas,HechosConLesiones,Lesionados,HechosUrbanos,HechosRurales
01/01/2009,157,154,0,0,3,3,149,8
02/01/2009,178,176,0,0,2,2,166,12
03/01/2009,267,250,2,2,15,15,259,8
04/01/2009,217,202,1,1,14,13,209,8
05/01/2009,233,225,0,0,8,10,224,9
06/01/2009,288,279,0,0,9,11,282,6
07/01/2009,261,254,0,0,7,15,257,4
08/01/2009,240,234,1,1,5,10,239,1
09/01/2009,220,203,1,1,16,22,217,3
10/01/2009,198,186,0,0,12,16,190,8
11/01/2009,217,202,0,0,15,24,217,0
12/01/2009,218,203,0,0,15,22,213,5
01/01/2010,164,156,0,0,8,19,150,14
02/01/2010,199,193,0,0,6,8,187,12
03/01/2010,281,267,1,1,13,20,269,12
04/01/2010,270,254,0,0,16,27,260,10
05/01/2010,265,253,0,0,12,16,260,5
06/01/2010,307,295,0,0,12,14,298,9
07/01/2010,336,326,1,1,9,15,329,7
08/01/2010,254,242,0,0,12,13,246,8
09/01/2010,307,295,0,0,12,20,304,3
10/01/2010,283,267,2,6,14,16,275,8
11/01/2010,351,340,0,1,11,11,343,8
12/01/2010,316,295,0,0,21,29,303,13
01/01/2011,204,194,0,0,10,13,183,21
02/01/2011,219,212,0,0,7,11,197,22
03/01/2011,310,285,1,2,24,48,299,11
04/01/2011,420,402,0,0,18,21,411,9
05/01/2011,409,387,0,0,22,23,405,4
06/01/2011,389,371,0,0,18,22,379,10
07/01/2011,325,312,1,2,12,23,317,8
08/01/2011,393,378,0,0,15,17,389,4
09/01/2011,356,337,0,0,19,28,350,6
10/01/2011,312,294,0,0,18,23,304,8
11/01/2011,341,321,1,3,19,18,326,15
12/01/2011,305,290,0,0,15,15,299,6
01/01/2012,173,160,0,0,13,15,163,10
02/01/2012,246,230,2,9,14,16,234,12
03/01/2012,427,410,0,0,17,27,423,4
04/01/2012,372,353,0,0,19,29,363,9
05/01/2012,457,445,0,0,12,15,453,4
06/01/2012,361,350,1,1,10,16,357,4
07/01/2012,400,390,0,0,10,10,397,3
08/01/2012,438,421,0,0,17,25,429,9
09/01/2012,337,308,1,1,28,46,336,1
