Fecha,Total,HechosSimples,HechosMortales,Victimas,HechosConLesiones,Lesionados,HechosUrbanos,HechosRurales,Año,Mes
2009-01-01,157,154,0,0,3,3,149,8,2009,1
2009-01-02,178,176,0,0,2,2,166,7,2009,1
2009-01-03,267,250,2,2,15,15,259,8,2009,1
2009-01-04,217,202,1,1,14,13,209,8,2009,1
2009-01-05,233,225,0,0,8,10,224,9,2009,1
2009-01-06,288,279,0,0,9,11,282,6,2009,1
2009-01-07,261,254,0,0,7,15,257,4,2009,1
2009-01-08,240,234,1,1,5,10,239,1,2009,1
2009-01-09,220,203,1,1,16,22,217,3,2009,1
2009-01-10,198,186,0,0,12,16,190,8,2009,1
2009-01-11,217,202,0,0,15,24,217,0,2009,1
2009-01-12,218,203,0,0,15,22,213,5,2009,1
2010-01-01,164,156,0,0,8,19,150,6,2010,1
2010-01-02,199,193,0,0,6,8,187,6,2010,1
2010-01-03,281,267,1,1,13,20,269,6,2010,1
2010-01-04,270,254,0,0,16,27,260,10,2010,1
2010-01-05,265,253,0,0,12,16,260,5,2010,1
2010-01-06,307,295,0,0,12,14,298,9,2010,1
2010-01-07,336,326,1,1,9,15,329,7,2010,1
2010-01-08,254,242,0,0,12,13,246,8,2010,1
2010-01-09,307,295,0,0,12,20,304,3,2010,1
2010-01-10,283,267,2,6,14,16,275,8,2010,1
2010-01-11,351,340,0,1,11,11,343,8,2010,1
2010-01-12,316,295,0,0,21,29,303,7,2010,1
2011-01-01,204,194,0,0,10,13,183,7,2011,1
2011-01-02,219,212,0,0,7,11,197,7,2011,1
2011-01-03,310,285,1,2,24,48,299,11,2011,1
2011-01-04,420,402,0,0,18,21,411,9,2011,1
2011-01-05,409,387,0,0,22,23,405,4,2011,1
2011-01-06,389,371,0,0,18,22,379,10,2011,1
2011-01-07,325,312,1,2,12,23,317,8,2011,1
2011-01-08,393,378,0,0,15,17,389,4,2011,1
2011-01-09,356,337,0,0,19,28,350,6,2011,1
2011-01-10,312,294,0,0,18,23,304,8,2011,1
2011-01-11,341,321,1,3,19,18,326,6,2011,1
2011-01-12,305,290,0,0,15,15,299,6,2011,1
2012-01-01,173,160,0,0,13,15,163,10,2012,1
2012-01-02,246,230,2,9,14,16,234,5,2012,1
2012-01-03,427,410,0,0,17,27,423,4,2012,1
2012-01-04,372,353,0,0,19,29,363,9,2012,1
2012-01-05,457,445,0,0,12,15,453,4,2012,1
2012-01-06,361,350,1,1,10,16,357,4,2012,1
2012-01-07,400,390,0,0,10,10,397,3,2012,1
2012-01-08,438,421,0,0,17,25,429,9,2012,1
2012-01-09,337,308,1,1,28,46,336,1,2012,1
2012-01-10,391,363,0,0,28,51,384,7,2012,1
2012-01-11,348,329,1,1,18,22,344,4,2012,1
2012-01-12,328,306,0,0,22,23,325,3,2012,1
2013-01-01,185,174,0,0,11,14,184,1,2013,1
2013-01-02,218,193,0,0,25,45,215,3,2013,1
2013-01-03,269,240,1,1,28,37,263,6,2013,1
2013-01-04,360,330,0,0,30,42,355,5,2013,1
2013-01-05,313,295,0,0,18,25,307,6,2013,1
2013-01-06,306,289,0,0,17,41,306,0,2013,1
2013-01-07,347,331,0,0,16,23,344,3,2013,1
2013-01-08,366,324,1,1,41,43,362,4,2013,1
2013-01-09,261,234,1,0,26,39,257,4,2013,1
2013-01-10,287,267,0,0,20,20,281,6,2013,1
2013-01-11,254,236,0,0,18,24,253,1,2013,1
2013-01-12,213,184,3,3,26,35,207,6,2013,1
2014-01-01,152,133,0,0,19,34,148,4,2014,1
2014-01-02,211,178,1,2,32,42,205,6,2014,1
2014-01-03,244,217,3,4,24,42,241,3,2014,1
2014-01-04,223,192,1,0,30,54,222,1,2014,1
